NO.;PROGRAM STUDI;KLS;Link LJU
159;D-III Manajemen Aset;3-01;gg.gg/lju_d3ma_3-01
160;D-III Manajemen Aset;3-02;gg.gg/lju_d3ma_3-02
161;D-III Manajemen Aset;3-03;gg.gg/lju_d3ma_3-03
162;D-III Manajemen Aset;3-04;gg.gg/lju_d3ma_3-04
163;D-III Manajemen Aset;3-05;gg.gg/lju_d3ma_3-05
164;D-III Manajemen Aset;3-06;gg.gg/lju_d3ma_3-06
165;D-III Manajemen Aset;5-01;gg.gg/lju_d3ma_5-01
166;D-III Manajemen Aset;5-02;gg.gg/lju_d3ma_5-02
167;D-III Manajemen Aset;5-03;gg.gg/lju_d3ma_5-03
168;D-III Manajemen Aset;5-04;gg.gg/lju_d3ma_5-04
169;D-III Manajemen Aset;5-05;gg.gg/lju_d3ma_5-05
170;D-III Pajak;1-01;gg.gg/lju_d3pjk_1-01
171;D-III Pajak;3-01;gg.gg/lju_d3pjk_3-01
172;D-III Pajak;3-02;gg.gg/lju_d3pjk_3-02
173;D-III Pajak;3-03;gg.gg/lju_d3pjk_3-03
174;D-III Pajak;3-04;gg.gg/lju_d3pjk_3-04
175;D-III Pajak;3-05;gg.gg/lju_d3pjk_3-05
176;D-III Pajak;3-06;gg.gg/lju_d3pjk_3-06
177;D-III Pajak;3-07;gg.gg/lju_d3pjk_3-07
178;D-III Pajak;3-08;gg.gg/lju_d3pjk_3-08
179;D-III Pajak;3-09;gg.gg/lju_d3pjk_3-09
180;D-III Pajak;3-10;gg.gg/lju_d3pjk_3-10
181;D-III Pajak;3-11;gg.gg/lju_d3pjk_3-11
182;D-III Pajak;3-12;gg.gg/lju_d3pjk_3-12
183;D-III Pajak;3-13;gg.gg/lju_d3pjk_3-13
184;D-III Pajak;3-14;gg.gg/lju_d3pjk_3-14
185;D-III Pajak;5-01;gg.gg/lju_d3pjk_5-01
186;D-III Pajak;5-02;gg.gg/lju_d3pjk_5-02
187;D-III Pajak;5-03;gg.gg/lju_d3pjk_5-03
188;D-III Pajak;5-04;gg.gg/lju_d3pjk_5-04
189;D-III Pajak;5-05;gg.gg/lju_d3pjk_5-05
190;D-III Pajak;5-06;gg.gg/lju_d3pjk_5-06
191;D-III Pajak;5-07;gg.gg/lju_d3pjk_5-07
192;D-III Pajak;5-08;gg.gg/lju_d3pjk_5-08
193;D-III Pajak;5-09;gg.gg/lju_d3pjk_5-09
194;D-III Pajak;5-10;gg.gg/lju_d3pjk_5-10
195;D-III Pajak;5-11;gg.gg/lju_d3pjk_5-11
196;D-III Pajak;5-12;gg.gg/lju_d3pjk_5-12
197;D-III Pajak;5-13;gg.gg/lju_d3pjk_5-13
198;D-III Pajak;5-14;gg.gg/lju_d3pjk_5-14
199;D-III Pajak;5-15;gg.gg/lju_d3pjk_5-15
200;D-III Pajak;5-16;gg.gg/lju_d3pjk_5-16
201;D-III Pajak;5-17;gg.gg/lju_d3pjk_5-17
202;D-III Pajak;5-18;gg.gg/lju_d3pjk_5-18
203;D-III Pajak;5-19;gg.gg/lju_d3pjk_5-19
204;D-III Pajak;5-20;gg.gg/lju_d3pjk_5-20
205;D-III Pajak;5-21;gg.gg/lju_d3pjk_5-21
206;D-III Pajak;5-22;gg.gg/lju_d3pjk_5-22
207;D-III Pajak;5-23;gg.gg/lju_d3pjk_5-23
208;D-III Pajak;5-24;gg.gg/lju_d3pjk_5-24
209;D-III Pajak;5-25;gg.gg/lju_d3pjk_5-25
210;D-III Pajak;5-26;gg.gg/lju_d3pjk_5-26
211;D-III Pajak;5-27;gg.gg/lju_d3pjk_5-27
212;D-III Pajak;5-28;gg.gg/lju_d3pjk_5-28
213;D-III Pajak;5-29;gg.gg/lju_d3pjk_5-29
214;D-III Pajak;5-30;gg.gg/lju_d3pjk_5-30
